State,District,Year,Season,Crop,AreaHectares,ProductionTonnes,YieldKgPerHa,IrrigationType,SoilType,FarmerBeneficiaries,MSP,MarketPrice,CropInsuranceCoverage,FertilizerUsageKg,WaterUsageLitres,Status
Meghalaya,Meghalaya District 5,2022,Zaid,Mustard,49352,93916,1903,Tube Well,Arid,7483,940,1162,46.6,230,426816,Harvested
Puducherry,Puducherry District 2,2021,Kharif,Mango,23842,16284,683,Canal,Black,10030,819,1018,37.1,132,445761,Harvested
Goa,Goa District 4,2021,Zaid,Turmeric,4741,7533,1589,Canal,Red,2324,2499,2594,77.3,184,248835,Harvested
Uttar Pradesh,Uttar District 1,2020,Rabi,Bajra,17259,27683,1604,Canal,Laterite,5743,2524,2876,22.6,169,487458,Standing
Bihar,Bihar District 5,2023,Rabi,Ginger,29171,33838,1160,Sprinkler,Red,3249,1071,1209,50.6,93,131158,Harvested
Bihar,Bihar District 8,2022,Kharif,Onion,30305,95642,3156,Tube Well,Black,10556,2668,2325,76.3,154,100896,Harvested
Himachal Pradesh,Himachal District 5,2020,Zaid,Jowar,50450,121130,2401,Rain-fed,Laterite,23720,3723,3411,50.2,222,341933,Harvested
Madhya Pradesh,Madhya District 1,2021,Zaid,Turmeric,48985,157437,3214,Tube Well,Arid,13654,969,1147,29.9,184,274152,Harvested
Haryana,Haryana District 2,2022,Kharif,Ginger,32750,102540,3131,Sprinkler,Arid,18178,2640,3284,41.0,194,214298,Harvested
Andhra Pradesh,Andhra District 8,2022,Rabi,Cotton,23378,23915,1023,Drip,Red,9652,1596,1385,60.8,246,90641,Harvested
Telangana,Telangana District 1,2018,Rabi,Potato,36340,84890,2336,Drip,Arid,13454,3061,3443,62.2,81,522368,Harvested
Mizoram,Mizoram District 7,2018,Rabi,Wheat,25099,61768,2461,Canal,Laterite,8992,3570,3669,37.7,173,309013,Harvested
Punjab,Punjab District 8,2023,Rabi,Soybean,48559,82161,1692,Drip,Red,8427,1561,1345,34.4,59,396565,Harvested
Rajasthan,Rajasthan District 4,2018,Rabi,Mustard,40127,33987,847,Tube Well,Red,4794,3691,3448,64.5,214,101855,Harvested
Sikkim,Sikkim District 3,2020,Rabi,Sunflower,6347,13144,2071,Canal,Forest,2662,2056,2429,48.3,157,67974,Standing
Himachal Pradesh,Himachal District 6,2019,Rabi,Turmeric,7548,13224,1752,Canal,Alluvial,4198,1809,2240,40.6,125,200487,Harvested
Gujarat,Gujarat District 4,2021,Rabi,Sugarcane,35336,87103,2465,Canal,Forest,17444,3200,3416,49.8,223,319485,Harvested
Andhra Pradesh,Andhra District 7,2023,Kharif,Potato,10250,32636,3184,Sprinkler,Laterite,5781,1909,2033,69.6,100,451817,Harvested
Meghalaya,Meghalaya District 6,2019,Zaid,Banana,8053,12917,1604,Tube Well,Black,1974,1513,1599,56.5,116,380267,Failed
Tripura,Tripura District 1,2021,Zaid,Tea,38915,34128,877,Canal,Alluvial,16006,1944,2078,57.7,229,494851,Harvested
Ladakh,Ladakh District 7,2020,Rabi,Potato,32592,85195,2614,Sprinkler,Red,9828,2098,2570,72.2,127,491827,Standing
Sikkim,Sikkim District 8,2020,Kharif,Potato,3833,3104,810,Tube Well,Black,2245,2694,3272,20.8,223,503145,Harvested
Mizoram,Mizoram District 8,2018,Kharif,Sugarcane,14964,26351,1761,Tube Well,Forest,2158,2210,2093,46.1,67,162308,Harvested
Nagaland,Nagaland District 4,2022,Zaid,Wheat,16866,39230,2326,Drip,Laterite,9722,1153,1112,61.6,136,219033,Harvested
Nagaland,Nagaland District 8,2018,Kharif,Rice,39218,53101,1354,Rain-fed,Red,17739,1690,1790,39.6,191,355612,Harvested
Punjab,Punjab District 4,2023,Kharif,Mango,47682,93265,1956,Canal,Alluvial,22377,3193,3970,39.8,149,514654,Harvested
Chandigarh,Chandigarh District 1,2020,Kharif,Onion,31011,102646,3310,Tube Well,Forest,9448,3383,2991,35.0,69,483866,Harvested
Chandigarh,Chandigarh District 6,2018,Kharif,Onion,21561,54894,2546,Tube Well,Laterite,9776,2690,2936,50.6,228,291259,Harvested
Maharashtra,Maharashtra District 5,2020,Rabi,Sugarcane,37860,57585,1521,Rain-fed,Black,14785,1305,1337,49.8,231,217844,Harvested
Punjab,Punjab District 5,2020,Kharif,Mustard,17884,15970,893,Drip,Laterite,4318,2854,3550,32.9,81,422978,Harvested
Chhattisgarh,Chhattisgarh District 1,2022,Rabi,Sunflower,23715,23928,1009,Tube Well,Laterite,4874,2975,3004,42.8,144,209981,Harvested
Rajasthan,Rajasthan District 7,2023,Kharif,Bajra,28313,20838,736,Sprinkler,Arid,5411,3481,3169,49.1,243,358879,Harvested
Tamil Nadu,Tamil District 4,2019,Zaid,Maize,50344,172629,3429,Drip,Laterite,6755,3614,4245,24.1,103,520312,Harvested
Haryana,Haryana District 5,2019,Kharif,Sunflower,4446,13724,3087,Canal,Arid,572,2256,2364,23.9,151,147926,Harvested
Tripura,Tripura District 7,2022,Kharif,Rice,6694,21989,3285,Rain-fed,Alluvial,1771,1369,1696,37.0,230,459591,Harvested
Rajasthan,Rajasthan District 5,2018,Zaid,Groundnut,49498,152602,3083,Tube Well,Forest,24834,2812,3295,52.5,213,410123,Harvested
Goa,Goa District 4,2019,Zaid,Groundnut,23446,52800,2252,Rain-fed,Arid,7492,3158,3348,71.6,211,536933,Failed
Goa,Goa District 2,2020,Rabi,Banana,22922,70049,3056,Drip,Black,13333,1917,1971,76.2,203,173641,Failed
Arunachal Pradesh,Arunachal District 4,2020,Zaid,Turmeric,47965,93963,1959,Tube Well,Alluvial,21903,2766,3307,20.3,147,531879,Harvested
Assam,Assam District 6,2019,Zaid,Ginger,6497,17522,2697,Sprinkler,Forest,2060,1086,1254,46.9,81,214443,Failed
West Bengal,West District 5,2020,Kharif,Turmeric,45495,139487,3066,Rain-fed,Arid,5178,2141,2185,61.6,198,207227,Failed
Ladakh,Ladakh District 4,2023,Zaid,Tomato,46372,93300,2012,Rain-fed,Forest,22971,1240,1326,61.1,172,179600,Failed
Uttarakhand,Uttarakhand District 3,2022,Kharif,Cotton,39644,33221,838,Canal,Red,9344,2113,2265,25.6,190,260730,Harvested
Uttarakhand,Uttarakhand District 1,2019,Rabi,Wheat,37700,103524,2746,Rain-fed,Black,8413,946,1047,32.6,97,530571,Harvested
Puducherry,Puducherry District 8,2018,Zaid,Banana,3267,5008,1533,Canal,Alluvial,759,3751,3403,23.4,144,435064,Harvested
Goa,Goa District 8,2020,Kharif,Ginger,2372,3026,1276,Canal,Red,1330,2814,2513,20.1,206,173633,Harvested
Maharashtra,Maharashtra District 1,2020,Kharif,Pulses,28439,69959,2460,Sprinkler,Black,16092,1169,1100,62.2,91,347377,Harvested
Uttar Pradesh,Uttar District 1,2022,Rabi,Sunflower,15656,29464,1882,Sprinkler,Alluvial,8462,3090,2962,40.0,102,81869,Harvested
Tamil Nadu,Tamil District 1,2023,Kharif,Bajra,13052,23206,1778,Canal,Arid,3906,2858,2933,20.8,85,169079,Harvested
Sikkim,Sikkim District 1,2020,Zaid,Wheat,17924,20684,1154,Canal,Alluvial,6044,852,991,33.4,218,512826,Standing
Ladakh,Ladakh District 1,2019,Rabi,Wheat,37349,69767,1868,Tube Well,Arid,8825,1072,1258,60.5,140,351595,Harvested
Chandigarh,Chandigarh District 3,2023,Kharif,Onion,9598,31011,3231,Rain-fed,Alluvial,4127,3287,3297,40.3,84,504613,Harvested
Telangana,Telangana District 5,2023,Rabi,Soybean,48776,146864,3011,Tube Well,Alluvial,24690,1820,1685,44.3,118,297298,Harvested
Meghalaya,Meghalaya District 1,2018,Zaid,Mustard,906,2176,2402,Canal,Arid,362,2755,3121,72.5,70,408811,Harvested
Bihar,Bihar District 1,2021,Rabi,Mustard,19923,44986,2258,Sprinkler,Black,11081,1401,1303,44.5,78,387119,Harvested
Maharashtra,Maharashtra District 3,2023,Rabi,Sugarcane,10700,16970,1586,Sprinkler,Red,1758,1221,1103,76.1,66,288467,Harvested
Maharashtra,Maharashtra District 3,2022,Zaid,Mango,40683,55817,1372,Tube Well,Laterite,15597,3743,3380,73.3,214,539539,Standing
Jharkhand,Jharkhand District 2,2018,Rabi,Sugarcane,22156,28802,1300,Drip,Arid,6858,1752,2044,74.8,171,500636,Harvested
Telangana,Telangana District 8,2023,Rabi,Turmeric,23442,37132,1584,Drip,Alluvial,5927,3012,3415,39.5,98,376175,Failed
Punjab,Punjab District 2,2021,Zaid,Bajra,27486,64454,2345,Drip,Black,15886,1843,2171,63.9,62,134238,Harvested
Goa,Goa District 4,2022,Rabi,Rice,37629,81993,2179,Rain-fed,Alluvial,11919,2573,2892,57.0,134,189695,Harvested
West Bengal,West District 3,2021,Kharif,Wheat,8321,10892,1309,Tube Well,Laterite,3026,2635,2850,59.1,226,373585,Harvested
Goa,Goa District 1,2023,Kharif,Soybean,21365,17797,833,Drip,Arid,3451,1719,2035,42.4,234,55191,Harvested
Gujarat,Gujarat District 3,2021,Rabi,Mustard,39225,46834,1194,Canal,Alluvial,14072,3097,2634,27.5,212,90492,Harvested
Tamil Nadu,Tamil District 3,2021,Rabi,Tea,41891,121442,2899,Canal,Forest,5829,3610,3763,70.3,226,471589,Harvested
Jharkhand,Jharkhand District 5,2021,Zaid,Maize,3755,9128,2431,Rain-fed,Arid,654,3002,3555,48.6,229,275213,Harvested
Mizoram,Mizoram District 8,2021,Rabi,Cotton,23147,35391,1529,Drip,Red,5609,2887,2944,31.7,141,195764,Harvested
Nagaland,Nagaland District 5,2018,Rabi,Jowar,9168,17437,1902,Tube Well,Forest,1874,1372,1532,56.9,111,454043,Harvested
Mizoram,Mizoram District 5,2021,Zaid,Tomato,38877,93421,2403,Sprinkler,Red,21182,3191,2929,61.0,109,91522,Harvested
Delhi,Delhi District 7,2020,Rabi,Tea,49042,167380,3413,Rain-fed,Forest,10497,1502,1439,62.7,143,221817,Harvested
Jammu & Kashmir,Jammu District 1,2018,Rabi,Cotton,42439,37261,878,Drip,Alluvial,22416,1560,1543,39.1,118,393708,Harvested
Gujarat,Gujarat District 8,2023,Kharif,Turmeric,19233,52909,2751,Drip,Arid,8149,2921,3148,55.4,217,263751,Harvested
Haryana,Haryana District 5,2020,Zaid,Rice,32764,68181,2081,Rain-fed,Black,13799,2016,2006,35.2,159,258339,Harvested
Ladakh,Ladakh District 2,2022,Zaid,Rice,26241,67465,2571,Canal,Black,10830,1998,1704,28.9,85,237299,Harvested
West Bengal,West District 7,2019,Kharif,Mustard,15187,11025,726,Drip,Forest,5377,1216,1306,67.3,131,258491,Harvested
Odisha,Odisha District 6,2022,Rabi,Ginger,11869,6872,579,Sprinkler,Forest,2759,1408,1375,50.9,137,380314,Failed
Bihar,Bihar District 4,2022,Rabi,Turmeric,18588,19610,1055,Rain-fed,Laterite,8706,1749,1883,46.4,216,249266,Harvested
Jammu & Kashmir,Jammu District 5,2019,Zaid,Potato,26547,29520,1112,Sprinkler,Forest,2998,1179,1435,70.5,215,147462,Harvested
Tripura,Tripura District 4,2019,Kharif,Sunflower,37101,64184,1730,Sprinkler,Alluvial,11946,904,1099,21.5,61,265664,Harvested
Delhi,Delhi District 5,2022,Kharif,Turmeric,29438,20312,690,Canal,Arid,16276,3601,3570,58.2,171,160223,Harvested
Delhi,Delhi District 4,2019,Rabi,Jowar,45020,96567,2145,Rain-fed,Laterite,5275,3189,2787,60.1,86,171613,Harvested
Jharkhand,Jharkhand District 1,2023,Zaid,Mango,7184,7025,978,Drip,Alluvial,1309,1922,1938,62.1,103,358278,Harvested
Punjab,Punjab District 7,2022,Rabi,Mango,38855,110542,2845,Tube Well,Alluvial,17941,1794,1950,63.7,145,229940,Failed
Haryana,Haryana District 1,2021,Rabi,Soybean,7627,19281,2528,Canal,Black,799,3743,3751,63.4,144,474274,Harvested
Punjab,Punjab District 1,2020,Rabi,Jowar,37821,70233,1857,Sprinkler,Red,15906,2630,3036,53.9,203,338297,Harvested
Andhra Pradesh,Andhra District 2,2023,Kharif,Mustard,22094,46839,2120,Tube Well,Black,4665,2905,2502,60.5,96,147660,Harvested
Andhra Pradesh,Andhra District 8,2018,Zaid,Bajra,25441,41596,1635,Tube Well,Arid,3210,3032,3674,51.3,198,311204,Harvested
Gujarat,Gujarat District 6,2023,Zaid,Ginger,50195,114745,2286,Tube Well,Black,16060,2327,2688,79.8,168,182701,Harvested
Puducherry,Puducherry District 8,2020,Zaid,Ginger,8554,10418,1218,Sprinkler,Laterite,5096,2736,2352,75.0,116,278139,Harvested
Uttarakhand,Uttarakhand District 8,2021,Zaid,Banana,25536,15423,604,Tube Well,Alluvial,7739,1162,1050,41.8,236,164626,Harvested
Odisha,Odisha District 2,2022,Kharif,Onion,6731,3661,544,Drip,Red,1487,1380,1441,37.1,142,132291,Failed
Nagaland,Nagaland District 8,2023,Kharif,Soybean,49724,91939,1849,Tube Well,Arid,19885,3727,4128,51.5,167,108422,Harvested
Kerala,Kerala District 6,2019,Rabi,Potato,38698,32506,840,Drip,Red,23006,2221,2510,41.4,198,264122,Harvested
Chhattisgarh,Chhattisgarh District 5,2019,Rabi,Cotton,5915,5459,923,Drip,Forest,2425,1160,1072,59.7,99,292940,Harvested
Goa,Goa District 6,2019,Zaid,Pulses,39183,135769,3465,Rain-fed,Black,23047,2827,2450,64.1,188,262734,Harvested
Karnataka,Karnataka District 2,2018,Kharif,Onion,39362,106867,2715,Tube Well,Forest,19272,2566,3073,50.2,51,253611,Harvested
Karnataka,Karnataka District 6,2022,Zaid,Pulses,17411,23731,1363,Tube Well,Black,2321,2499,2854,46.6,167,473377,Harvested
Maharashtra,Maharashtra District 5,2019,Kharif,Bajra,47149,123011,2609,Tube Well,Red,24966,2793,3464,44.5,212,385998,Harvested
Himachal Pradesh,Himachal District 8,2018,Zaid,Tomato,50023,141665,2832,Sprinkler,Red,7900,846,723,76.7,83,395680,Harvested
Odisha,Odisha District 7,2022,Kharif,Ginger,27709,86784,3132,Tube Well,Laterite,14181,1723,1660,49.4,154,194526,Harvested
Arunachal Pradesh,Arunachal District 1,2019,Rabi,Tea,42155,29803,707,Canal,Red,13559,843,805,53.0,246,156508,Failed
Goa,Goa District 6,2019,Rabi,Rice,40532,100600,2482,Canal,Red,9388,1645,1781,77.2,161,420203,Harvested
Rajasthan,Rajasthan District 2,2020,Kharif,Tea,33969,53093,1563,Rain-fed,Forest,4262,1230,1074,30.7,104,239548,Standing
Uttar Pradesh,Uttar District 7,2023,Zaid,Sunflower,10231,34539,3376,Sprinkler,Black,1889,3181,3399,56.2,118,196609,Harvested
Rajasthan,Rajasthan District 1,2018,Zaid,Bajra,17908,48673,2718,Drip,Forest,8485,1108,1293,56.8,76,479437,Harvested
Goa,Goa District 5,2019,Rabi,Soybean,8536,9466,1109,Sprinkler,Black,4835,956,861,77.6,232,469833,Harvested
Mizoram,Mizoram District 4,2020,Kharif,Ginger,26780,79402,2965,Sprinkler,Black,8858,1583,1902,50.2,181,365947,Harvested
Gujarat,Gujarat District 8,2018,Zaid,Bajra,16585,47831,2884,Rain-fed,Alluvial,2093,3162,3502,51.8,169,396406,Harvested
Punjab,Punjab District 7,2019,Rabi,Jowar,16974,29704,1750,Canal,Alluvial,9435,1640,1969,35.6,89,474741,Harvested
Tripura,Tripura District 2,2018,Kharif,Mango,3864,12503,3236,Rain-fed,Forest,433,1968,2295,66.5,239,237271,Standing
Assam,Assam District 1,2021,Zaid,Sunflower,42706,112145,2626,Drip,Forest,11904,916,870,38.3,163,172070,Harvested
Chandigarh,Chandigarh District 3,2023,Rabi,Mustard,11415,13583,1190,Tube Well,Arid,6011,2923,3562,74.6,201,451359,Standing
Chandigarh,Chandigarh District 1,2018,Zaid,Banana,46792,65883,1408,Drip,Red,7785,2322,2091,41.9,188,350564,Harvested
Jammu & Kashmir,Jammu District 6,2020,Zaid,Bajra,29714,20799,700,Tube Well,Arid,15536,3005,3096,36.7,114,140211,Harvested
Andhra Pradesh,Andhra District 4,2021,Kharif,Wheat,14009,21363,1525,Drip,Alluvial,7251,3392,3092,73.6,101,355633,Harvested
Nagaland,Nagaland District 3,2019,Kharif,Potato,23732,49101,2069,Drip,Forest,7462,3645,4136,26.3,140,512768,Harvested
Uttarakhand,Uttarakhand District 2,2023,Zaid,Onion,33023,24503,742,Sprinkler,Alluvial,6834,1226,1230,37.3,241,429447,Harvested
Jammu & Kashmir,Jammu District 6,2023,Rabi,Mustard,12090,40646,3362,Rain-fed,Arid,6245,3360,3571,66.3,90,127813,Harvested
Telangana,Telangana District 4,2022,Kharif,Tea,22237,13008,585,Tube Well,Black,12248,2862,3317,47.2,81,272479,Harvested
Punjab,Punjab District 8,2020,Kharif,Mango,24568,20759,845,Sprinkler,Red,9978,2964,2701,38.5,98,202622,Harvested
Chandigarh,Chandigarh District 4,2021,Rabi,Tomato,30319,17948,592,Sprinkler,Alluvial,4524,2133,2184,21.5,202,470500,Harvested
West Bengal,West District 8,2023,Zaid,Maize,38088,25937,681,Drip,Alluvial,18563,3331,4067,34.6,56,417300,Harvested
Haryana,Haryana District 3,2022,Zaid,Bajra,20253,47493,2345,Sprinkler,Red,11018,3578,3361,54.9,214,351480,Harvested
Delhi,Delhi District 8,2019,Kharif,Mango,10607,28543,2691,Tube Well,Arid,5967,2913,3158,36.1,206,500685,Harvested
Goa,Goa District 6,2021,Zaid,Tomato,14120,7709,546,Canal,Laterite,5830,2684,2857,59.3,143,298345,Standing
Odisha,Odisha District 5,2018,Kharif,Pulses,6560,13671,2084,Tube Well,Alluvial,1700,3275,3379,32.5,73,205672,Harvested
Uttarakhand,Uttarakhand District 3,2020,Kharif,Maize,35485,81118,2286,Tube Well,Alluvial,14532,2663,2731,51.0,225,339487,Harvested
Madhya Pradesh,Madhya District 3,2018,Kharif,Groundnut,40953,115774,2827,Rain-fed,Alluvial,8981,2004,2344,70.5,214,501205,Standing
Uttar Pradesh,Uttar District 5,2021,Kharif,Sunflower,28777,44287,1539,Sprinkler,Laterite,16519,1031,972,79.6,229,250490,Standing
Karnataka,Karnataka District 6,2018,Rabi,Sugarcane,3286,5313,1617,Canal,Alluvial,991,1887,2077,39.3,101,250414,Harvested
Maharashtra,Maharashtra District 2,2018,Kharif,Jowar,46995,29559,629,Rain-fed,Alluvial,25494,3442,3831,57.6,190,190627,Harvested
Uttarakhand,Uttarakhand District 6,2018,Kharif,Jowar,49809,121533,2440,Tube Well,Arid,12553,2992,3517,65.1,222,316150,Harvested
Tamil Nadu,Tamil District 3,2022,Rabi,Wheat,41261,58879,1427,Canal,Red,16402,2601,2239,25.9,155,130895,Harvested
Jammu & Kashmir,Jammu District 3,2021,Kharif,Banana,14487,10025,692,Sprinkler,Forest,2558,1216,1455,48.9,186,409547,Harvested
Nagaland,Nagaland District 8,2023,Rabi,Potato,26054,79308,3044,Rain-fed,Laterite,10198,2536,2374,38.5,228,422332,Harvested
Telangana,Telangana District 3,2023,Zaid,Tomato,30178,19766,655,Sprinkler,Laterite,16783,3252,3917,69.8,136,373358,Harvested
Delhi,Delhi District 2,2019,Rabi,Sunflower,41577,90970,2188,Sprinkler,Arid,18536,897,1090,55.8,239,418435,Harvested
Arunachal Pradesh,Arunachal District 5,2018,Kharif,Banana,47412,150248,3169,Tube Well,Black,28270,2482,2486,53.2,168,464377,Standing
Maharashtra,Maharashtra District 4,2018,Kharif,Mustard,20815,43836,2106,Rain-fed,Laterite,3807,3748,3195,63.8,145,218354,Standing
Mizoram,Mizoram District 5,2019,Kharif,Sugarcane,20195,31908,1580,Canal,Forest,3264,2324,2461,69.0,127,299386,Harvested
Chandigarh,Chandigarh District 3,2018,Zaid,Potato,22703,73035,3217,Rain-fed,Forest,10752,3534,4338,46.6,156,222379,Harvested
Goa,Goa District 2,2023,Zaid,Onion,41588,126302,3037,Drip,Black,8409,3254,3643,36.3,71,108049,Harvested
Arunachal Pradesh,Arunachal District 6,2021,Rabi,Mustard,26399,13859,525,Rain-fed,Arid,5973,1485,1282,79.8,164,124486,Harvested
Himachal Pradesh,Himachal District 1,2019,Zaid,Mango,49293,40370,819,Tube Well,Forest,21783,1733,1801,37.5,95,144463,Harvested
Gujarat,Gujarat District 2,2019,Kharif,Pulses,27149,59374,2187,Rain-fed,Alluvial,4670,3029,3604,63.9,139,331551,Harvested
Delhi,Delhi District 6,2021,Rabi,Onion,29060,39754,1368,Canal,Alluvial,14467,1960,1693,31.6,206,431310,Failed
Himachal Pradesh,Himachal District 5,2023,Zaid,Mustard,18189,32394,1781,Canal,Forest,4795,2118,2605,73.1,185,530474,Harvested
Arunachal Pradesh,Arunachal District 1,2018,Rabi,Tea,6165,17385,2820,Sprinkler,Alluvial,2688,3450,3808,36.9,66,93987,Harvested
Odisha,Odisha District 2,2023,Zaid,Sunflower,42041,21987,523,Tube Well,Red,5623,986,914,43.5,166,302611,Harvested
Goa,Goa District 5,2023,Zaid,Maize,43896,54035,1231,Canal,Red,16643,2318,2541,48.4,172,367982,Harvested
Gujarat,Gujarat District 5,2021,Kharif,Mustard,36179,21815,603,Rain-fed,Arid,19234,3169,2716,70.7,81,319241,Harvested
Chhattisgarh,Chhattisgarh District 1,2019,Zaid,Tomato,6533,4677,716,Canal,Black,1500,2162,2315,35.3,136,490822,Failed
Tripura,Tripura District 6,2021,Rabi,Onion,10040,15481,1542,Sprinkler,Alluvial,2157,3287,3610,42.0,207,222623,Harvested
Nagaland,Nagaland District 4,2021,Kharif,Sugarcane,3471,8427,2428,Sprinkler,Alluvial,832,3509,3038,44.6,237,295518,Harvested
Jammu & Kashmir,Jammu District 4,2022,Rabi,Onion,18004,37178,2065,Canal,Laterite,2558,2357,2409,58.7,203,318439,Harvested
Manipur,Manipur District 1,2019,Zaid,Onion,38975,87966,2257,Sprinkler,Forest,8275,1736,1596,62.1,155,538821,Harvested
Telangana,Telangana District 3,2018,Kharif,Soybean,6095,3455,567,Canal,Arid,3531,883,806,55.5,93,473403,Harvested
Andhra Pradesh,Andhra District 6,2021,Zaid,Pulses,24495,51561,2105,Tube Well,Black,11149,3696,3441,32.6,77,51089,Harvested
Odisha,Odisha District 2,2018,Rabi,Sugarcane,3540,2513,710,Drip,Black,1251,2657,2544,43.7,59,186347,Harvested
Mizoram,Mizoram District 6,2020,Rabi,Groundnut,19302,22486,1165,Drip,Alluvial,6253,2916,2511,63.7,232,489488,Standing
Goa,Goa District 2,2022,Kharif,Mustard,42759,112199,2624,Sprinkler,Alluvial,18947,1433,1313,70.1,130,476151,Harvested
Gujarat,Gujarat District 8,2021,Zaid,Rice,22864,38457,1682,Tube Well,Arid,7491,2589,2911,60.5,106,51663,Harvested
Telangana,Telangana District 2,2023,Rabi,Sugarcane,50390,157871,3133,Rain-fed,Laterite,16684,2364,2715,33.6,103,332922,Harvested
Madhya Pradesh,Madhya District 6,2023,Zaid,Potato,38143,69115,1812,Sprinkler,Alluvial,6207,3584,3596,77.8,164,356550,Harvested
Kerala,Kerala District 2,2020,Zaid,Sunflower,48618,68988,1419,Drip,Laterite,13343,3685,3628,42.6,205,536783,Harvested
Manipur,Manipur District 7,2022,Kharif,Cotton,21881,12931,591,Drip,Black,4715,3171,3063,51.8,240,263642,Harvested
Meghalaya,Meghalaya District 5,2022,Kharif,Mustard,716,1268,1771,Tube Well,Forest,168,1911,1688,72.0,151,80492,Harvested
Ladakh,Ladakh District 7,2019,Kharif,Banana,41429,125198,3022,Canal,Laterite,11967,2303,2123,57.4,65,135868,Harvested
Andhra Pradesh,Andhra District 6,2023,Zaid,Sugarcane,25773,39020,1514,Tube Well,Laterite,4027,2206,2753,76.6,78,293023,Harvested
Arunachal Pradesh,Arunachal District 2,2022,Zaid,Tomato,22738,27399,1205,Rain-fed,Forest,7413,2985,2802,67.1,211,449376,Harvested
Uttarakhand,Uttarakhand District 7,2019,Zaid,Sunflower,10152,29004,2857,Rain-fed,Red,4111,2981,3554,28.5,57,536420,Standing
Manipur,Manipur District 8,2022,Zaid,Turmeric,43386,85513,1971,Sprinkler,Laterite,20861,1323,1138,29.5,128,379586,Harvested
Manipur,Manipur District 4,2022,Zaid,Groundnut,15373,37525,2441,Drip,Alluvial,6254,3063,3550,30.6,157,67396,Harvested
Rajasthan,Rajasthan District 8,2019,Zaid,Mustard,24968,61496,2463,Sprinkler,Laterite,4778,3753,3992,64.5,146,61051,Harvested
Jharkhand,Jharkhand District 6,2020,Zaid,Sugarcane,7975,15926,1997,Drip,Black,3546,2224,2456,67.8,93,390386,Harvested
Chhattisgarh,Chhattisgarh District 6,2019,Zaid,Banana,7157,23961,3348,Tube Well,Forest,3074,1383,1252,61.7,105,351305,Harvested
Chhattisgarh,Chhattisgarh District 4,2019,Rabi,Tomato,5756,4541,789,Sprinkler,Arid,2109,1461,1622,62.0,64,147767,Harvested
Kerala,Kerala District 4,2022,Rabi,Potato,29789,68067,2285,Tube Well,Red,13800,3142,3641,54.0,145,156562,Harvested
Uttar Pradesh,Uttar District 6,2021,Kharif,Pulses,25610,85691,3346,Canal,Forest,10054,1006,917,63.7,133,497349,Harvested
