State,District,Year,Quarter,Disease,Cases,Deaths,CFR,Hospitals,Beds,Doctors,Nurses,HealthFacility,VaccinationCoverage,SanitationCoverage,Status
Chandigarh,Chandigarh District 8,2021,Q1,Kala-azar,7894,304,3.85,39,841,109,169,Urban PHC,60.7,41.9,Contained
Chhattisgarh,Chhattisgarh District 2,2022,Q1,Hepatitis B,3287,137,4.17,51,770,291,600,Sub-Centre,80.7,60.5,Contained
Chandigarh,Chandigarh District 3,2022,Q1,Pneumonia,3337,56,1.68,14,230,32,72,District Hospital,63.0,49.6,Contained
Assam,Assam District 2,2021,Q1,Cholera,1022,36,3.52,9,149,63,165,Sub-Centre,73.8,63.6,Active
Goa,Goa District 2,2021,Q1,Chikungunya,4167,138,3.31,17,178,57,116,Sub-Centre,74.7,46.9,Active
West Bengal,West District 7,2019,Q4,Japanese Encephalitis,3114,6,0.19,6,75,14,26,District Hospital,89.2,47.9,Active
Himachal Pradesh,Himachal District 6,2021,Q3,Tuberculosis,1192,40,3.36,37,871,88,173,District Hospital,85.3,56.0,Active
Uttarakhand,Uttarakhand District 6,2019,Q4,Malaria,5272,202,3.83,13,208,82,145,Primary Health Centre,92.1,56.6,Active
Delhi,Delhi District 8,2023,Q4,Tuberculosis,2593,36,1.39,43,565,115,298,Urban PHC,61.4,41.3,Active
Sikkim,Sikkim District 7,2022,Q4,Tuberculosis,2556,75,2.93,22,339,47,76,District Hospital,65.1,59.3,Active
Tripura,Tripura District 7,2020,Q4,Japanese Encephalitis,6032,90,1.49,23,238,97,234,Sub-Centre,61.5,48.8,Active
Madhya Pradesh,Madhya District 1,2018,Q3,Leptospirosis,7715,85,1.10,47,788,375,397,District Hospital,63.1,69.5,Active
Andhra Pradesh,Andhra District 8,2018,Q2,Typhoid,8474,127,1.50,36,609,106,209,Urban PHC,76.7,73.5,Active
Jammu & Kashmir,Jammu District 4,2020,Q4,Filariasis,4956,6,0.12,16,258,88,145,Urban PHC,60.8,62.2,Active
Gujarat,Gujarat District 5,2020,Q1,Pneumonia,5229,237,4.53,44,546,232,235,Community Health Centre,87.4,56.4,Active
Haryana,Haryana District 7,2018,Q3,Japanese Encephalitis,1025,3,0.29,54,963,425,960,Urban PHC,86.9,73.8,Active
Chhattisgarh,Chhattisgarh District 1,2023,Q3,Dengue,7628,218,2.86,37,945,131,352,Community Health Centre,58.9,40.5,Contained
Jammu & Kashmir,Jammu District 5,2023,Q1,Cholera,4236,88,2.08,10,200,27,66,Urban PHC,90.7,57.7,Contained
Chandigarh,Chandigarh District 6,2020,Q4,Japanese Encephalitis,6228,144,2.31,9,175,61,70,District Hospital,89.2,62.6,Active
Uttar Pradesh,Uttar District 8,2020,Q3,Hepatitis B,6432,166,2.58,6,63,7,12,Urban PHC,71.8,40.4,Contained
Mizoram,Mizoram District 1,2023,Q4,Typhoid,119,5,4.20,26,379,55,144,District Hospital,95.0,76.0,Active
Arunachal Pradesh,Arunachal District 2,2023,Q4,Hepatitis B,2938,60,2.04,33,930,117,133,Urban PHC,73.3,41.8,Active
Punjab,Punjab District 7,2019,Q2,Malaria,8071,5,0.06,47,935,416,916,Sub-Centre,79.7,43.6,Active
Meghalaya,Meghalaya District 8,2020,Q3,Pneumonia,5762,221,3.84,40,517,127,299,Primary Health Centre,63.7,56.8,Contained
Uttar Pradesh,Uttar District 1,2020,Q2,Cholera,5393,243,4.51,46,1024,338,584,Community Health Centre,59.3,44.7,Active
Arunachal Pradesh,Arunachal District 8,2020,Q4,Japanese Encephalitis,428,13,3.04,37,1056,446,978,District Hospital,77.5,72.0,Active
Chandigarh,Chandigarh District 3,2021,Q3,Hepatitis B,4328,63,1.46,25,589,161,394,Community Health Centre,67.7,56.0,Active
Puducherry,Puducherry District 5,2023,Q1,Pneumonia,7967,311,3.90,30,698,304,356,Urban PHC,58.6,50.0,Active
Uttar Pradesh,Uttar District 5,2019,Q3,COVID-19,2956,122,4.13,35,934,97,250,Sub-Centre,83.6,41.6,Active
Andhra Pradesh,Andhra District 7,2018,Q2,Diarrhoea,1534,69,4.50,54,1161,457,964,Sub-Centre,81.4,42.3,Active
Tamil Nadu,Tamil District 1,2023,Q2,Malaria,8835,193,2.18,39,731,167,322,Sub-Centre,79.4,51.4,Active
Jharkhand,Jharkhand District 3,2022,Q2,Tuberculosis,1956,66,3.37,33,662,232,343,Community Health Centre,65.0,66.0,Contained
Himachal Pradesh,Himachal District 3,2018,Q3,Tuberculosis,5328,159,2.98,18,324,62,80,Sub-Centre,76.9,40.9,Active
Tamil Nadu,Tamil District 4,2020,Q4,Tuberculosis,7333,73,1.00,35,1026,428,733,Sub-Centre,78.5,75.9,Active
Punjab,Punjab District 4,2018,Q2,Dengue,7009,32,0.46,37,823,257,338,Sub-Centre,88.9,79.1,Active
Arunachal Pradesh,Arunachal District 6,2021,Q3,Typhoid,4113,178,4.33,9,248,62,123,Sub-Centre,89.0,47.3,Active
Assam,Assam District 2,2021,Q1,Kala-azar,326,0,0.00,12,159,58,94,Urban PHC,86.9,68.7,Contained
Chhattisgarh,Chhattisgarh District 5,2021,Q3,Japanese Encephalitis,8255,91,1.10,47,811,386,566,Urban PHC,59.5,74.8,Active
Tripura,Tripura District 3,2020,Q4,Pneumonia,5224,177,3.39,6,101,50,118,Primary Health Centre,59.6,67.0,Active
Maharashtra,Maharashtra District 3,2021,Q4,COVID-19,678,17,2.51,26,410,132,345,Sub-Centre,81.9,45.8,Active
Haryana,Haryana District 8,2018,Q3,Cholera,2722,16,0.59,30,444,92,259,District Hospital,78.8,72.2,Active
Andhra Pradesh,Andhra District 2,2023,Q2,COVID-19,2773,75,2.70,52,526,240,407,Sub-Centre,59.6,54.2,Active
Karnataka,Karnataka District 5,2021,Q4,Tuberculosis,6372,75,1.18,20,525,205,366,District Hospital,69.1,78.0,Contained
Uttarakhand,Uttarakhand District 6,2023,Q2,COVID-19,2580,76,2.95,5,115,15,31,District Hospital,83.8,64.6,Active
Maharashtra,Maharashtra District 8,2020,Q3,Typhoid,641,18,2.81,28,397,58,166,Community Health Centre,59.0,76.8,Active
Sikkim,Sikkim District 2,2018,Q4,Tuberculosis,5607,277,4.94,48,650,128,373,Sub-Centre,93.3,77.1,Active
Jammu & Kashmir,Jammu District 5,2022,Q1,Chikungunya,4909,54,1.10,18,345,52,115,Sub-Centre,76.6,64.7,Active
Assam,Assam District 8,2022,Q3,Pneumonia,4493,143,3.18,37,1085,185,329,Urban PHC,78.8,78.2,Active
Gujarat,Gujarat District 1,2019,Q3,Filariasis,6702,51,0.76,45,701,250,651,Community Health Centre,83.1,70.0,Active
Punjab,Punjab District 7,2018,Q2,Leptospirosis,3955,62,1.57,7,170,25,54,Community Health Centre,58.0,64.3,Active
Manipur,Manipur District 3,2020,Q1,Typhoid,3075,116,3.77,44,1310,266,745,Urban PHC,70.0,60.9,Contained
Ladakh,Ladakh District 6,2022,Q3,Hepatitis B,6645,202,3.04,32,467,111,268,Community Health Centre,84.7,75.5,Active
Jammu & Kashmir,Jammu District 5,2020,Q4,Hepatitis B,8094,173,2.14,30,660,83,228,Primary Health Centre,80.2,72.9,Active
Bihar,Bihar District 7,2023,Q4,Hepatitis B,5606,70,1.25,39,583,211,490,Primary Health Centre,65.8,71.8,Contained
Maharashtra,Maharashtra District 4,2022,Q1,Cholera,6977,71,1.02,21,446,106,125,Primary Health Centre,68.6,62.4,Active
Ladakh,Ladakh District 8,2023,Q2,Pneumonia,3351,144,4.30,30,797,318,346,District Hospital,93.3,62.5,Active
Bihar,Bihar District 2,2019,Q4,Kala-azar,2142,14,0.65,42,920,407,712,Urban PHC,92.4,43.8,Contained
Punjab,Punjab District 1,2022,Q1,Dengue,888,35,3.94,35,855,203,307,Community Health Centre,71.4,78.1,Contained
Tamil Nadu,Tamil District 1,2021,Q4,Cholera,2733,111,4.06,5,142,15,34,District Hospital,79.5,50.3,Active
Chhattisgarh,Chhattisgarh District 2,2019,Q4,Tuberculosis,5421,84,1.55,37,653,125,278,Community Health Centre,78.7,41.4,Active
Mizoram,Mizoram District 7,2021,Q3,Malaria,3034,38,1.25,13,222,45,127,District Hospital,68.1,73.4,Contained
Haryana,Haryana District 1,2021,Q3,Diarrhoea,3105,85,2.74,44,841,344,645,Primary Health Centre,87.1,68.9,Contained
Puducherry,Puducherry District 6,2022,Q1,COVID-19,2771,34,1.23,51,1125,125,296,Community Health Centre,58.1,61.9,Active
Chandigarh,Chandigarh District 5,2019,Q2,Pneumonia,3233,49,1.52,33,613,299,607,District Hospital,64.0,80.0,Active
Delhi,Delhi District 7,2020,Q2,COVID-19,1184,8,0.68,28,462,149,335,District Hospital,86.9,43.1,Contained
Chhattisgarh,Chhattisgarh District 6,2020,Q1,Diarrhoea,3509,16,0.46,34,965,159,187,District Hospital,58.3,45.7,Active
Maharashtra,Maharashtra District 8,2020,Q4,Malaria,5192,182,3.51,50,1367,212,466,Primary Health Centre,67.3,70.3,Active
Manipur,Manipur District 1,2018,Q2,Japanese Encephalitis,765,29,3.79,45,1242,370,453,Primary Health Centre,56.7,47.4,Active
West Bengal,West District 2,2019,Q4,Typhoid,7550,76,1.01,53,913,126,158,Urban PHC,76.6,54.5,Contained
Jammu & Kashmir,Jammu District 5,2019,Q2,Pneumonia,1542,6,0.39,50,1117,281,824,Community Health Centre,55.5,77.9,Contained
Bihar,Bihar District 4,2018,Q1,Diarrhoea,2670,76,2.85,10,299,134,253,Community Health Centre,58.4,75.3,Active
Meghalaya,Meghalaya District 3,2021,Q2,Kala-azar,8646,296,3.42,48,832,119,124,Primary Health Centre,81.4,69.4,Active
Puducherry,Puducherry District 7,2023,Q2,Chikungunya,707,31,4.38,15,355,162,439,Community Health Centre,82.3,47.2,Active
West Bengal,West District 5,2021,Q3,Hepatitis B,1351,59,4.37,6,82,39,82,District Hospital,55.9,70.2,Active
Andhra Pradesh,Andhra District 1,2023,Q1,Dengue,1529,64,4.19,34,995,128,319,Urban PHC,75.1,74.6,Contained
Mizoram,Mizoram District 6,2020,Q3,Dengue,918,33,3.59,27,631,226,305,Sub-Centre,76.9,40.7,Active
Mizoram,Mizoram District 8,2020,Q1,Leptospirosis,7143,113,1.58,27,504,60,147,Community Health Centre,85.3,47.5,Active
Maharashtra,Maharashtra District 7,2019,Q1,Filariasis,8143,241,2.96,6,142,70,105,Urban PHC,82.3,64.6,Active
Chhattisgarh,Chhattisgarh District 2,2020,Q2,Diarrhoea,3460,69,1.99,22,454,90,250,Community Health Centre,85.0,66.4,Active
Odisha,Odisha District 5,2020,Q2,Chikungunya,4987,0,0.00,25,484,162,259,Community Health Centre,93.6,47.8,Contained
Uttar Pradesh,Uttar District 1,2023,Q1,Filariasis,997,24,2.41,50,1309,474,691,Sub-Centre,93.5,46.2,Contained
Mizoram,Mizoram District 8,2019,Q1,Tuberculosis,2579,3,0.12,53,920,279,515,Primary Health Centre,94.1,62.8,Active
Mizoram,Mizoram District 2,2018,Q2,Filariasis,6835,178,2.60,43,1014,460,472,District Hospital,66.9,63.0,Active
Assam,Assam District 8,2022,Q3,Hepatitis B,4658,151,3.24,51,1058,338,899,Community Health Centre,68.6,65.5,Active
Haryana,Haryana District 1,2021,Q3,COVID-19,3870,135,3.49,8,162,17,19,District Hospital,90.4,49.8,Contained
Meghalaya,Meghalaya District 5,2020,Q2,Japanese Encephalitis,8481,395,4.66,40,877,254,351,Community Health Centre,73.7,48.9,Contained
Telangana,Telangana District 2,2018,Q2,Typhoid,7514,368,4.90,29,603,148,170,District Hospital,83.4,41.2,Active
Karnataka,Karnataka District 7,2022,Q3,Cholera,2503,31,1.24,53,1553,303,383,District Hospital,60.9,41.4,Contained
Chhattisgarh,Chhattisgarh District 6,2020,Q4,Leptospirosis,6550,127,1.94,50,570,242,386,Sub-Centre,91.2,59.0,Contained
Himachal Pradesh,Himachal District 1,2019,Q1,Typhoid,894,36,4.03,42,840,192,288,Sub-Centre,93.1,41.9,Contained
Telangana,Telangana District 8,2022,Q1,Chikungunya,5967,121,2.03,39,1000,474,1369,District Hospital,94.0,48.4,Active
Assam,Assam District 4,2022,Q3,Diarrhoea,5955,162,2.72,31,855,161,376,District Hospital,79.8,72.8,Contained
Chhattisgarh,Chhattisgarh District 4,2021,Q3,Malaria,6740,252,3.74,20,234,62,86,Primary Health Centre,73.6,60.6,Active
West Bengal,West District 6,2018,Q4,Tuberculosis,7407,164,2.21,54,1550,489,846,District Hospital,71.6,63.2,Active
Andhra Pradesh,Andhra District 1,2022,Q1,Kala-azar,2352,53,2.25,5,72,32,59,Primary Health Centre,85.4,74.6,Contained
Chandigarh,Chandigarh District 5,2020,Q3,Chikungunya,8604,114,1.32,30,882,238,264,Sub-Centre,80.3,44.6,Active
Haryana,Haryana District 8,2019,Q4,Pneumonia,2649,97,3.66,7,88,25,63,Community Health Centre,69.7,42.2,Contained
Chandigarh,Chandigarh District 1,2023,Q3,Japanese Encephalitis,8843,349,3.95,13,142,23,56,District Hospital,68.5,58.1,Contained
Jharkhand,Jharkhand District 8,2021,Q4,COVID-19,8414,41,0.49,44,547,62,82,District Hospital,78.7,48.5,Active
West Bengal,West District 1,2022,Q3,Pneumonia,719,28,3.89,29,823,398,811,Primary Health Centre,83.3,76.5,Active
Arunachal Pradesh,Arunachal District 1,2021,Q4,Chikungunya,1788,72,4.03,40,568,67,137,Community Health Centre,57.6,58.4,Contained
Maharashtra,Maharashtra District 2,2018,Q1,Chikungunya,5778,165,2.86,50,1174,451,875,Community Health Centre,75.3,71.5,Contained
Sikkim,Sikkim District 1,2021,Q3,Cholera,6191,233,3.76,51,883,95,248,Community Health Centre,85.9,68.7,Active
Uttar Pradesh,Uttar District 2,2019,Q4,Pneumonia,4305,204,4.74,13,265,33,49,Sub-Centre,58.3,79.2,Contained
Andhra Pradesh,Andhra District 1,2023,Q3,Pneumonia,8119,165,2.03,18,369,126,360,Community Health Centre,62.6,41.5,Active
Jharkhand,Jharkhand District 1,2020,Q3,Chikungunya,8783,386,4.39,40,634,169,463,Sub-Centre,78.2,57.3,Active
Telangana,Telangana District 8,2020,Q4,Kala-azar,3861,18,0.47,8,203,75,106,District Hospital,87.9,44.9,Active
Jharkhand,Jharkhand District 8,2022,Q4,Cholera,471,11,2.34,9,90,12,33,District Hospital,87.2,68.8,Active
West Bengal,West District 4,2022,Q4,Dengue,4931,52,1.05,32,544,87,235,Sub-Centre,93.4,45.9,Active
Nagaland,Nagaland District 6,2022,Q2,COVID-19,1447,57,3.94,44,1018,489,1297,Community Health Centre,93.2,46.3,Active
Himachal Pradesh,Himachal District 5,2018,Q3,Chikungunya,1361,56,4.11,36,551,139,371,Community Health Centre,66.6,58.4,Active
Gujarat,Gujarat District 5,2018,Q3,Hepatitis B,1091,38,3.48,30,898,132,325,Community Health Centre,65.1,71.5,Contained
Puducherry,Puducherry District 4,2021,Q1,Leptospirosis,8772,314,3.58,35,540,117,281,Urban PHC,66.0,68.0,Active
Odisha,Odisha District 8,2022,Q3,Typhoid,1662,36,2.17,36,427,162,428,District Hospital,68.6,73.6,Active
Uttar Pradesh,Uttar District 3,2019,Q3,Dengue,2698,65,2.41,47,864,94,278,Primary Health Centre,82.2,69.7,Active
West Bengal,West District 4,2022,Q3,Malaria,4031,128,3.18,30,586,171,471,Primary Health Centre,55.6,78.2,Active
Tripura,Tripura District 5,2019,Q2,Hepatitis B,5785,88,1.52,45,491,61,84,Primary Health Centre,82.2,64.4,Active
Nagaland,Nagaland District 5,2020,Q3,Typhoid,1913,31,1.62,21,219,48,57,Community Health Centre,58.0,48.9,Active
Maharashtra,Maharashtra District 1,2018,Q2,Cholera,5790,238,4.11,16,372,57,101,Urban PHC,60.4,44.3,Active
Assam,Assam District 3,2022,Q1,Pneumonia,6034,55,0.91,54,723,297,778,District Hospital,87.3,71.9,Active
West Bengal,West District 7,2020,Q1,Pneumonia,7717,298,3.86,12,131,34,96,Urban PHC,94.4,77.1,Contained
Ladakh,Ladakh District 5,2021,Q2,Malaria,440,12,2.73,26,536,117,239,Urban PHC,88.8,74.6,Active
Puducherry,Puducherry District 4,2019,Q2,Dengue,8532,115,1.35,43,916,457,936,Sub-Centre,72.2,64.4,Contained
Tripura,Tripura District 2,2018,Q3,Kala-azar,1777,54,3.04,24,627,98,268,Community Health Centre,63.5,41.5,Contained
Tripura,Tripura District 4,2022,Q1,Dengue,8218,230,2.80,51,772,329,915,Community Health Centre,83.4,63.0,Active
Jharkhand,Jharkhand District 8,2022,Q1,COVID-19,4752,118,2.48,8,147,67,88,Primary Health Centre,90.1,74.0,Contained
Sikkim,Sikkim District 3,2023,Q4,Tuberculosis,3140,26,0.83,50,1047,413,1058,District Hospital,74.1,72.8,Active
Punjab,Punjab District 2,2022,Q3,Cholera,2347,29,1.24,39,1061,262,459,Primary Health Centre,59.9,47.0,Active
Assam,Assam District 4,2022,Q2,COVID-19,1983,25,1.26,44,945,211,389,Primary Health Centre,56.6,79.5,Contained
Himachal Pradesh,Himachal District 7,2019,Q1,Pneumonia,3319,116,3.50,9,129,47,96,District Hospital,71.1,68.3,Active
Madhya Pradesh,Madhya District 6,2019,Q1,Typhoid,2018,22,1.09,43,1070,159,372,Primary Health Centre,75.9,68.4,Active
Himachal Pradesh,Himachal District 5,2022,Q2,Chikungunya,5886,44,0.75,9,218,57,98,Community Health Centre,80.4,62.5,Active
Assam,Assam District 3,2021,Q4,Typhoid,2077,34,1.64,23,345,128,151,Primary Health Centre,80.6,45.7,Active
Bihar,Bihar District 8,2023,Q4,Leptospirosis,7589,134,1.77,23,232,113,271,Urban PHC,63.7,66.7,Active
Odisha,Odisha District 6,2020,Q1,Filariasis,7032,50,0.71,47,1364,470,634,District Hospital,84.9,49.9,Active
Delhi,Delhi District 8,2023,Q1,Filariasis,4431,184,4.15,18,259,114,194,District Hospital,61.0,49.0,Active
Karnataka,Karnataka District 5,2023,Q3,Chikungunya,5811,125,2.15,10,135,57,124,District Hospital,85.5,66.1,Active
Delhi,Delhi District 6,2019,Q2,Kala-azar,2580,11,0.43,42,874,277,379,District Hospital,77.3,45.3,Active
Goa,Goa District 2,2022,Q2,Chikungunya,6574,172,2.62,11,176,74,136,Primary Health Centre,56.4,76.0,Active
Arunachal Pradesh,Arunachal District 8,2018,Q3,Leptospirosis,168,3,1.79,8,143,48,57,Sub-Centre,89.6,66.8,Contained
Jharkhand,Jharkhand District 2,2022,Q1,Japanese Encephalitis,3363,146,4.34,35,935,116,293,District Hospital,80.2,64.0,Contained
